ticker,degree,betweenness_centrality,sector
SISE,8,0.5868544600938967,Industrials
KCHOL,7,0.7230046948356808,Conglomerates
SAHOL,6,0.5164319248826291,Conglomerates
VESBE,5,0.20892018779342725,Consumer Durables
PETKM,4,0.18231611893583724,Chemicals
KRDMD,3,0.18035993740219092,Steel
MGROS,3,0.08176838810641628,Retail
ISCTR,3,0.107981220657277,Banking
CEMTS,3,0.05516431924882629,Steel
AGHOL,3,0.15805946791862285,Conglomerates
TTRAK,3,0.08176838810641628,Industrials
THYAO,3,0.05516431924882629,Airlines
TTKOM,3,0.10758998435054773,Telecommunications
INDES,3,0.05516431924882629,Technology
AKBNK,3,0.18035993740219092,Banking
CIMSA,3,0.13262910798122066,Building Materials
DOHOL,3,0.08176838810641628,Conglomerates
ZOREN,3,0.107981220657277,Energy
ASELS,3,0.05516431924882629,Defense
TOASO,2,0.02777777777777778,Automotive
TUPRS,2,0.02777777777777778,Energy
DOAS,2,0.02777777777777778,Automotive
BUCIM,2,0.08098591549295775,Building Materials
BRYAT,2,0.02777777777777778,Conglomerates
ARCLK,2,0.22183098591549297,Consumer Durables
ANHYT,2,0.02777777777777778,Insurance
AKSEN,2,0.02777777777777778,Energy
EGEEN,2,0.054773082942097026,Automotive
EKGYO,2,0.02777777777777778,REIT
VAKBN,2,0.02777777777777778,Banking
AEFES,2,0.02777777777777778,Beverages
SOKM,2,0.02777777777777778,Retail
YKBNK,2,0.1310641627543036,Banking
SASA,2,0.02777777777777778,Chemicals
SKBNK,2,0.02777777777777778,Banking
MAVI,2,0.02777777777777778,Retail
ODAS,2,0.02777777777777778,Energy
VESTL,1,0.0,Consumer Durables
OYAKC,1,0.0,Building Materials
AKFGY,1,0.0,REIT
PGSUS,1,0.0,Airlines
BIMAS,1,0.0,Retail
HEKTS,1,0.0,Chemicals
TKFEN,1,0.0,Construction
GARAN,1,0.0,Banking
TURSG,1,0.0,Insurance
ECILC,1,0.0,Pharmaceuticals
BTCIM,1,0.0,Building Materials
CCOLA,1,0.0,Beverages
ENJSA,1,0.0,Energy
ENKAI,1,0.0,Construction
HALKB,1,0.0,Banking
GUBRF,1,0.0,Chemicals
ALARK,1,0.0,Conglomerates
ASUZU,1,0.0,Automotive
EREGL,1,0.0,Steel
FROTO,1,0.0,Automotive
DGATE,1,0.0,Technology
TCELL,1,0.0,Telecommunications
PAPIL,1,0.0,Defense
TAVHL,1,0.0,Transportation
TKNSA,1,0.0,Retail
ISGYO,1,0.0,REIT
LOGO,1,0.0,Technology
AGESA,1,0.0,Insurance
MPARK,1,0.0,Healthcare
AKSA,1,0.0,Chemicals
BRSAN,1,0.0,Steel
BRISA,1,0.0,Automotive
BERA,1,0.0,Conglomerates
AYGAZ,1,0.0,Energy
ULKER,1,0.0,Food
OTKAR,1,0.0,Defense
