ticker,degree,betweenness_centrality,sector
SISE,9,0.5258215962441315,Industrials
VESBE,8,0.28169014084507044,Consumer Durables
KCHOL,8,0.7539123630672927,Conglomerates
SAHOL,7,0.5,Conglomerates
AKBNK,4,0.18231611893583724,Banking
PETKM,4,0.1341940532081377,Chemicals
MGROS,3,0.1334115805946792,Retail
ISCTR,3,0.107981220657277,Banking
TTRAK,3,0.08176838810641628,Industrials
TTKOM,3,0.05516431924882629,Telecommunications
BUCIM,3,0.08176838810641628,Building Materials
INDES,3,0.05516431924882629,Technology
ARCLK,3,0.30477308294209704,Consumer Durables
THYAO,3,0.05516431924882629,Airlines
CIMSA,3,0.13262910798122066,Building Materials
ZOREN,2,0.02777777777777778,Energy
SKBNK,2,0.02777777777777778,Banking
DOAS,2,0.02777777777777778,Automotive
SOKM,2,0.02777777777777778,Retail
ANHYT,2,0.02777777777777778,Insurance
DOHOL,2,0.02777777777777778,Conglomerates
AEFES,2,0.02777777777777778,Beverages
AKSEN,2,0.02777777777777778,Energy
TUPRS,2,0.02777777777777778,Energy
AGHOL,2,0.054773082942097026,Conglomerates
CEMTS,2,0.02777777777777778,Steel
BIMAS,2,0.15492957746478875,Retail
EGEEN,2,0.054773082942097026,Automotive
SASA,2,0.02777777777777778,Chemicals
EREGL,2,0.02777777777777778,Steel
BRYAT,2,0.02777777777777778,Conglomerates
FROTO,2,0.02777777777777778,Automotive
MAVI,2,0.02777777777777778,Retail
VAKBN,2,0.02777777777777778,Banking
ECILC,1,0.0,Pharmaceuticals
ASUZU,1,0.0,Automotive
BRISA,1,0.0,Automotive
EKGYO,1,0.0,REIT
AKFGY,1,0.0,REIT
HEKTS,1,0.0,Chemicals
HALKB,1,0.0,Banking
ENJSA,1,0.0,Energy
GUBRF,1,0.0,Chemicals
GARAN,1,0.0,Banking
ALARK,1,0.0,Conglomerates
ENKAI,1,0.0,Construction
ASELS,1,0.0,Defense
BRSAN,1,0.0,Steel
TKNSA,1,0.0,Retail
BERA,1,0.0,Conglomerates
AYGAZ,1,0.0,Energy
OYAKC,1,0.0,Building Materials
PGSUS,1,0.0,Airlines
CCOLA,1,0.0,Beverages
BTCIM,1,0.0,Building Materials
TKFEN,1,0.0,Construction
PAPIL,1,0.0,Defense
AKSA,1,0.0,Chemicals
DGATE,1,0.0,Technology
LOGO,1,0.0,Technology
AGESA,1,0.0,Insurance
MPARK,1,0.0,Healthcare
ODAS,1,0.0,Energy
YKBNK,1,0.0,Banking
VESTL,1,0.0,Consumer Durables
TAVHL,1,0.0,Transportation
TCELL,1,0.0,Telecommunications
ULKER,1,0.0,Food
TURSG,1,0.0,Insurance
TOASO,1,0.0,Automotive
KRDMD,1,0.0,Steel
ISGYO,1,0.0,REIT
OTKAR,1,0.0,Defense
