ticker,degree,betweenness_centrality,sector
KCHOL,9,0.7699530516431925,Conglomerates
VESBE,7,0.2578247261345853,Consumer Durables
SISE,7,0.46361502347417843,Industrials
SAHOL,7,0.5363849765258216,Conglomerates
AKBNK,4,0.18231611893583724,Banking
PETKM,3,0.18035993740219092,Chemicals
CIMSA,3,0.08176838810641628,Building Materials
MGROS,3,0.1334115805946792,Retail
ISCTR,3,0.107981220657277,Banking
TTRAK,3,0.08176838810641628,Industrials
TTKOM,3,0.08176838810641628,Telecommunications
ODAS,3,0.05516431924882629,Energy
THYAO,3,0.05516431924882629,Airlines
INDES,3,0.05516431924882629,Technology
ZOREN,3,0.1334115805946792,Energy
SOKM,2,0.02777777777777778,Retail
DOHOL,2,0.02777777777777778,Conglomerates
AEFES,2,0.02777777777777778,Beverages
VAKBN,2,0.02777777777777778,Banking
DOAS,2,0.02777777777777778,Automotive
TOASO,2,0.02777777777777778,Automotive
TUPRS,2,0.02777777777777778,Energy
KRDMD,2,0.10641627543035995,Steel
EGEEN,2,0.054773082942097026,Automotive
ARCLK,2,0.2625195618153365,Consumer Durables
BUCIM,2,0.02777777777777778,Building Materials
ANHYT,2,0.02777777777777778,Insurance
BRYAT,2,0.02777777777777778,Conglomerates
SKBNK,2,0.02777777777777778,Banking
AGHOL,2,0.054773082942097026,Conglomerates
MAVI,2,0.02777777777777778,Retail
ASELS,2,0.02777777777777778,Defense
EREGL,2,0.1310641627543036,Steel
SASA,2,0.02777777777777778,Chemicals
BIMAS,2,0.15492957746478875,Retail
AKSEN,2,0.02777777777777778,Energy
EKGYO,2,0.02777777777777778,REIT
HEKTS,1,0.0,Chemicals
HALKB,1,0.0,Banking
ENJSA,1,0.0,Energy
BRSAN,1,0.0,Steel
GUBRF,1,0.0,Chemicals
GARAN,1,0.0,Banking
AKFGY,1,0.0,REIT
ALARK,1,0.0,Conglomerates
ENKAI,1,0.0,Construction
CEMTS,1,0.0,Steel
ASUZU,1,0.0,Automotive
ECILC,1,0.0,Pharmaceuticals
TKNSA,1,0.0,Retail
BRISA,1,0.0,Automotive
LOGO,1,0.0,Technology
FROTO,1,0.0,Automotive
OYAKC,1,0.0,Building Materials
PGSUS,1,0.0,Airlines
CCOLA,1,0.0,Beverages
BTCIM,1,0.0,Building Materials
TKFEN,1,0.0,Construction
PAPIL,1,0.0,Defense
AKSA,1,0.0,Chemicals
DGATE,1,0.0,Technology
AGESA,1,0.0,Insurance
BERA,1,0.0,Conglomerates
MPARK,1,0.0,Healthcare
YKBNK,1,0.0,Banking
VESTL,1,0.0,Consumer Durables
TAVHL,1,0.0,Transportation
TCELL,1,0.0,Telecommunications
ULKER,1,0.0,Food
TURSG,1,0.0,Insurance
ISGYO,1,0.0,REIT
AYGAZ,1,0.0,Energy
OTKAR,1,0.0,Defense
