ticker,degree,betweenness_centrality,sector
SISE,26,0.764866979655712,Industrials
VESBE,20,0.6251956181533647,Consumer Durables
ODAS,7,0.16079812206572772,Energy
KCHOL,7,0.37597809076682315,Conglomerates
AKBNK,6,0.13497652582159625,Banking
BUCIM,5,0.25195618153364635,Building Materials
SAHOL,4,0.2515649452269171,Conglomerates
ISCTR,2,0.15492957746478875,Banking
EKGYO,2,0.02777777777777778,REIT
PETKM,2,0.49295774647887325,Chemicals
BRSAN,1,0.0,Steel
CIMSA,1,0.0,Building Materials
BRISA,1,0.0,Automotive
BRYAT,1,0.0,Conglomerates
BERA,1,0.0,Conglomerates
AYGAZ,1,0.0,Energy
ARCLK,1,0.0,Consumer Durables
EGEEN,1,0.0,Automotive
ISGYO,1,0.0,REIT
CEMTS,1,0.0,Steel
MGROS,1,0.0,Retail
AEFES,1,0.0,Beverages
ANHYT,1,0.0,Insurance
DOAS,1,0.0,Automotive
TUPRS,1,0.0,Energy
DOHOL,1,0.0,Conglomerates
ASUZU,1,0.0,Automotive
ECILC,1,0.0,Pharmaceuticals
AKSEN,1,0.0,Energy
AKFGY,1,0.0,REIT
HEKTS,1,0.0,Chemicals
HALKB,1,0.0,Banking
ENJSA,1,0.0,Energy
GUBRF,1,0.0,Chemicals
GARAN,1,0.0,Banking
ALARK,1,0.0,Conglomerates
ENKAI,1,0.0,Construction
ASELS,1,0.0,Defense
KRDMD,1,0.0,Steel
TKNSA,1,0.0,Retail
TTRAK,1,0.0,Industrials
LOGO,1,0.0,Technology
MAVI,1,0.0,Retail
FROTO,1,0.0,Automotive
OYAKC,1,0.0,Building Materials
EREGL,1,0.0,Steel
PGSUS,1,0.0,Airlines
SASA,1,0.0,Chemicals
CCOLA,1,0.0,Beverages
BTCIM,1,0.0,Building Materials
BIMAS,1,0.0,Retail
TKFEN,1,0.0,Construction
PAPIL,1,0.0,Defense
AGHOL,1,0.0,Conglomerates
AKSA,1,0.0,Chemicals
DGATE,1,0.0,Technology
AGESA,1,0.0,Insurance
TTKOM,1,0.0,Telecommunications
MPARK,1,0.0,Healthcare
ZOREN,1,0.0,Energy
YKBNK,1,0.0,Banking
VESTL,1,0.0,Consumer Durables
SKBNK,1,0.0,Banking
INDES,1,0.0,Technology
SOKM,1,0.0,Retail
TAVHL,1,0.0,Transportation
TCELL,1,0.0,Telecommunications
THYAO,1,0.0,Airlines
VAKBN,1,0.0,Banking
ULKER,1,0.0,Food
TURSG,1,0.0,Insurance
TOASO,1,0.0,Automotive
OTKAR,1,0.0,Defense
